18	7	[#6,#1]C([#6,#1])(O[#6])(O[#6])	COC(C)(OC)C	CC1(C)OCCO1
10927	12	[cX3](a)[cH0]([cX3]([cH1][cX3]a))[OH0][CX3]	CC(=O)OC1=CC=CC=CC1=O	C=1CC=2C=CC3=CC=CN=C3C2OC1N	CC1=COC2=CC=C(OCC)C(OC=O)=C2C1=O
10928	12	[NX3]([cH0]1[cH1][cH1][cH1][cH1][cX3]1)[CX3]([CX4]([CX4]))	O=C(NC=1C=CC=CC1)CCC	O=C1NC=2C=CC=CC2SC(C=3SC=CC3)C1	CC1(O)C(=N)N(C=2C=CC=CC2)CC1
10929	9	[CH3][CH0]([CH1]([CH2][#6])O[#6])([CH3])O	OC(C)(C)C1OCCC1	COC(CC)C(O)(C)C
10930	14	[CH3][CH2][CH1]([CH3])[CH1]([CH0](=O)N([#6])[#6])N[CH0]([#6])=O	O=C(C)NC(C(=O)N(C)C)C(C)CC	CN1CN(C(=O)C)C(C1=O)C(C)CC
10931	12	[cX3]1(a)[cH1][cH1][cH1][cH1][cH0]1[cH0]([cX3]a)[OH1]	CC=1C=CC=2C=CC=CC2C1O	NC=1C(=O)NC=2C=CC=CC2C1O	C=C1C=C(O)C=2C=CC=CC2C1=C
10932	11	[cX3]([nH0][cX3]([cX3](a)[CH0]([FH0])([FH0])[FH0]))a	FC(F)(F)C1=CC=CN=C1S	CN1C=C(C=C(Cl)C1=N)C(F)(F)F	CC1=C(N=C2C(O)=CC=CN12)C(F)(F)F
10933	12	[cX3]1[cH0]([cH0]([cX3]([cX3]([cH0]1[CX4])))[OX2])[OH0][CH3]	COC1=CC=C(C=C1OC)CC	CC=1C=2OCOC2C(OC)=C(C)C1C(N)C	NC=1C=2COCC2C(O)=C(OC)C1OC
10934	7	[CH3][cH0]1:n:[cH0](:[cX3]:[cX3]1)[#6]	CC1=CC=C(N1)C	CC=1C=2C=C(O)C(Br)=CC2N(C=3C=CC=CC3)C1C	CN1C(C)=C(C)C(N)=C1C
10935	3	ON=[#6]	C=NO
10936	7	N[cH0](:[#7]):n:[cH0]([#6]):[#7]	CC1=NC(N)=NN1	OC1=CC(=O)N(C=2N=C(N)N=CC12)C	NC=1N=C(N)C=2NC=NC2N1
10937	16	[CX4]([CX4]([CH1]([CX4])[OH0][CH0](=[OH0])[cH0]1[cH1][cH1][cH1][cH1][cH1]1)[CX4])	O=C(OC1C(C)CCC1C)C=2C=CC=CC2	CC(CO)(C(O)C)C(OC(=O)C=1C=CC=CC1)CC	CC(C)C(OC(=O)C=1C=CC=CC1)C2(C)COCC2C
10938	8	Br[cH0](:[#6]):[cH1]:[cH0]([#16]):[#6]	SC1=CN=CC(Br)=C1	FC=1C=C(N)C(Br)=CC1S	BrC=1C=CC=2N=CSC2C1
10939	10	[CH3][nH0]([cX3]a)[cX3]([nX2]a)	NC=1N=CN(C(=N)C1N)C	O=C1C(=C)C(=C)N2C(=S)NN=C2N1C	SC1=NN=C(C=2C=NC=CC2)N1C
10940	6	[CH3]N[CH2][CH2][CH2][#7]	NCCCNC
10941	9	[CX4][CH1]([CX4])[CH0]([OX2])([CH3])[CH3]	CCC1CCOC1(C)C	COC(C)(C)C(C(O)C)C(C)(C)C	CC1COC(C)C1C(O)(C)C
10942	6	[CH3][CH1]([CH1]([#6])[#6])O	CC(C)C(O)C
10943	6	[CH3][CH0]([CX4])([OX2])[CH3]	COC(C)(C)C	OC1(NCOC1(C)C)C	OC(C)C(O)(C)C
10944	8	[CH3][CH1]([#6])O[CH0]([CH2][#6])=O	O=C(OC(C)C)CC	O=C1OC(CCC1)C
10945	10	[CX4]([CX4][CX4])[NH1][CH0](=[OH0])[CX4][NH2]	CC(NC(=O)CN)CCC	CC(NC(=O)C(C)N)C(O)C	CC(NC(=O)C(C)N)CCS
10946	12	[cX3]1[cH1][cH0]([cH1][cX3]([cH0]1[OH1]))[CH1]=[CH1][CX3]	OC(=O)C=CC1=CC=C(O)C=C1	CC(=O)C=CC1=CC=C(O)C(C)=C1
10947	9	[CX4]1[CH2][CH2][CX4]([CX4]([CH2]1))[CX3]	C=CC1CCCCC1C	C=C(O)C1(O)CCCCC1	O=CC1(C)CCC(O)CC1(O)C
10948	9	[CX4][CX4]([CX3]([NX3]))[CX3]	C=CC(C(=O)NC)CN	O=C1NCCC21C=CN(C)C2=O	O=C(C)C(C(=O)N(C)C)(C)C
10949	9	[CX4][NH0]([CX4])[CX4]([CX4])[CX4]	CCN1CCCC1CN	O1C=2C=CC=CC2C=C1CC(N(CC)CC)C	CC12C=3NC=4C=CC=CC4C3CCN5CC(CC(C)C51)C2
10950	12	[CX4][CX4]([CH0](=[OH0])[cH0]1[cH1][cX3]([cH0]([cH1][cH1]1)[OX2]))	O=C(C1=CC=C(OC)C=C1)CC	NC(C(=O)C1=CC=C2OCOC2=C1)C	O=C(C1=CC=C(O)C=C1)CCCl
10951	7	[CX4]([CX4]([CH1]([CX4])[OX2]))[CH3]	NCC(O)CCC	COC1C(CC2OC(C)C21C)C	COC(C(C)C)C(O)(C)C(C)(C)C
10952	7	[cH1]1:[cX3]:[cH1]:n:[cH1]:[cX3]1	CC=1C=NC=CC1	BrC=1C=NC=C(C1)C=2N=NNN2	SC1=CN=CC(Br)=C1
10953	13	[CX4]1([CX4]([CH2][CX4][CH0]([CX4][OX2])([CH1]1[CX4])[CH3]))[CH3]	CC1(C)CCCC(C)(CO)C1CC	COC(C)C1(C)C(C)CCC2(OCCC21)C	OC1CC(O)C2(C)COC(C)C2C1(C)C
10954	10	[CH3][cH0](:[cH0](:[#6])N([#6])[#6]):[#6]	CN(C)C=1C=CC=CC1C	CC1=C(C)C(=C(C(=C)C1=C)C)N(C)C	CN(C)C1=C(SC=C1C)C
10955	16	O=[CH0]([cH0](:[cH0](:[#6])O):[#6])[cH0](:[#6]):[#6]	OC1=CC=C2CC=3OC=CC3C(=O)C2=C1O	O=C(C1=CNC(Cl)=C1Cl)C=2C(O)=C(Cl)C=C(C)C2O	O=C(C=1C=CC=CC1)C2=CC(Br)=CC=C2O
10956	9	[CX4][cX3]([cX3]([cX3](a)[CX4][FH0]))a	FC(F)C1=NNC(=C1)C	NCC1=CC=CC(=C1Cl)C(F)(F)F	FC(F)(F)C1=NN(C)C(=C1Br)C
10957	13	[cX3](a)([cX3](a)[OH1])[CX4]([CX4][OH1])	CC(O)CC=1C(O)=CC(O)=CC1C	CC=1C(C)=C2CC(O)C(C)(C)C2=C(O)C1O	O=C1C(C)=C(O)C(=CN1C)C(O)(C)C(O)C
10958	11	[CX4][CH2][cH0]([cX3]([CX4])a)[cX3]([cX3](a))	CCC=1C=CC=CC1CCN	O=C1OC(=C)C(=C)C2=C1CCC2	CC1=C(O)C=C2C(=C1O)C3CCC(C)(C=C3)C2
10959	11	[cX3]1[cH0]([OX2])[cH1][cX3]([cX3]([cX3]1)a)a	OC=1C=CC=2NC=C(C)C2C1	O=C1OC=2C=C3OCCC3=CC2C=C1	SC1=NC=2C=CC(OC)=CC2S1
10960	7	O=[CH0]1N[#6]([CH1]([#6])N1)	O=C1NCC(C)N1
10961	8	[#6]N([CH1]([CH1]([#6])O)[#6])[CH3]	OC1CCN(C)C1C	OC(C)C(C)N(C=1C=CC=CC1)C	O1C2CN(C)C(C)C12
10962	14	[CX4][CX3][NH0]([CX4][CH2][CX4])[cX3](a)a	O=C(N1C=2C=CC=CC2CCC1)CS	NCCC(C)N(C(=O)CC)C1=CC=C(O)C=C1	O=C(N(C=1C=CC=C(Cl)C1)C2COCC2)C3CC3
10963	11	[NX3][cX3]([cX3]([cX3](a)[cX3](a)[cX3]a))a	SNC=1C=CC=2C=NNC2C1	CC1=CN(C)C2=C(F)C(=C(F)C(N)=C2C1=O)N(C)C	CNC=1C(C)=C(O)C2=C(C)C(O)=C(C(O)=C2C1O)C
10964	9	O[CH1]([#6])[cH0]1:[cH1]:[#6](:[cH1]:[cH1]:[cH1]1)	CC(O)C=1C=CC=CC1	O1CC1C=2C=CC=CC2	OC(C=1C=CC=CC1)C=2C=CC=CC2
10965	12	[cX3](a)(a)[NX3][CH2][CX4]([CX4])	CC=1C=CC=CC1NCCCC	N1=CN=C(C=2NC=NC12)N3CCC(N)CC3	FC=1C=C2NCCCC2=CC1Br
10966	9	[cX3](a)([cX3]([cX3](a)[OH1]))[CX4]	CC1=CC=C(O)C=C1C	NC1=C(O)C(N)=C(C2=NCCC=C12)C(C)(C)C	OC=1C(O)=C2C(COC2O)=C(O)C1C
10967	12	O=[CH0]([CH2][CH2][cH0](:[cH1]:[#6]):[#6])O	OC1=CC=C(C=C1)CCC(=O)O	OC1=CC=C2C(OC(=O)CC2)=C1	O=C(O)CCC1=CC=2C=COC2C(O)=C1O
10968	9	[CH3][CH1]([CH2][CH2][CX4]([CX4][CH3]))[CX4]	CC(C)CCCC(C)C	OC1(CC(CCC1C)C(C)(C)C)C	CC(C)C1NCC(C)CC1
10969	12	[cX3]([cX3]([cX3]([cX3]([cX3](a)))))(a)[CX3][OH1]	O=C(O)C=1C=CC=2N=CNC2C1	NC1=C(F)C=C2C(=O)C(=CN(C)C2=C1S)C(=O)O	CC=1OC2=C(Br)C(=O)C=CC2=C(C1C)C=3C=CC=CC3C(=O)O
10970	9	[CH3]O[cH0]1:[cH1]:[cX3](:[cX3](:[cH1]:[cH0]1[#6]))	CC=1C=CC=CC1OC	C=C1C=C(OC)C(=CC1=C)C
10971	11	[#8][CH0]1([#6]([#6][CH1]([CH2][CH0]1([#6])[CH3])[#8]))[#6]	CC1(C)CC(O)CCC1(O)C	CC12OC2CC(O)CC1(C)C	CC1(C)CC(O)CCC21OC2
10972	11	[cX3](a)([nX2]a)[cX3]([nH0][cX3](a)[NH2])	NC1=NC2=NON=C2N=C1N	CC=1C=NC(=NC1N)C2=NN(C)C=3N=CC=CC23	O=C1NC(=NC2=C1N=C(Br)N2C)N
10973	8	[CH3][cH0]1:[cH1]:[cX3](:[cH0](:[cH1]:[cH1]1)[#7])	NC1=CC=C(C=C1)C	OC=1N=C2C=CC(=CC2=CC1C)C	NC1=CC(=CC=C1N2C=CC=C2)C
10974	10	[CX4]1[CX4]([CX4]([CX4]([CX3][CX4]1[CH3])))([CX4])	O=C1C(C)CC(C)CC1C	CC(C)C1CCC(=C)C(C)(C)C1(F)C	O=C1C2OC2C(C)(C)C(O)(C)C1(C)C
10975	10	[CX4][cH0]1[cH0]([cH1][cH0]([cH1][cX3]1)[OH1])[OH1]	CCC1=CC=C(O)C=C1O	CC1(C)COC=2C=C(O)C=C(O)C21	CC1CCC=2C=C(O)C=C(O)C21
10976	8	[#6][CH0](=[#8])N[CH2][CH1]([#6])[#6]	O=C(C)NCC1CC1	O=C(C)NCC(C)C
10977	10	[CX4]([CX3])[CH1]([CX4]([CX3]=[OH0]))[CX4][CH3]	C=C1C(=O)CC2C1C2(C)C	O=CC(C)(C)C(C(O)C(=O)O)C(CO)(C)C	CC(=O)CC1C(OC(=O)C1C)C
10978	13	[cX3]1[cH1][cH0]([cX3](a)[CX3][NX3])[cX3](a)[cH1][cH1]1	O=C(NN)C1=CNC=2C=CC=CC21	O=C1C=2C=3C=CC=CC3N(C2CCN1C)C	O=C(NC)C=1C=C(N)N=C2C=CC(Cl)=CC21
10979	7	[CH3][CH0](=[CH1][#6])[CH1]([#6])O	OC1CCC=C1C	OC(C)C(=CC)C	CC=C(C)C1CO1
10980	7	N[cH0]1:[cX3](:[cX3]:[cH1]:[cH1]:[cH1]1)	NC=1C=CC=CC1	C=C1C=CC=C(N)C1=C	CC1=CC=CC(N)=C1O
10981	8	F[cH0](:[cH0](:[#6])Br):[#6]	CC=1SC=C(Br)C1F	FC1=CC(=NC=C1Br)N	FC=1C(Br)=CC=C(Cl)C1C
10982	5	O=P([#8])(O)[#8]	OP(=O)(O)O	OP(=O)(O)O	OP(=O)(O)O
10983	12	[CH3][CX4][CX4]([CH2][CX4][cX3](a)[cH1][cX3]a)	CC1=CC=C(C=C1)CCCCC	CC1(COC(C2=COC=C2)C1)C(C)C	OC1C2=CC(C)=C(O)C(O)=C2CC(C1)C(C)(C)C
10984	4	[CH2]=[CH0]([#6])[#6]	CC(C)=C
10985	9	[CX4]([CX4])[CH1]([CX4])[CX3][CX3](=[OH0])	O=C(N)C(=O)C(C)CC	O=C1OC2CCCC(O)C2C1=C	O=C(O)C1=COC(O)C(C)C1CC2=NC=CC=3C=4C=CC=CC4NC32
10986	12	O=[CH0](N1[CH2][CH2][CH1]([#6])[CH2][CH2]1)[CH1]([#6])N	CC1CCN(C(=O)C(C)N)CC1
10987	8	[CX4]([CX4]([CH1]([CX4][CH3])[OH1])([CH3]))	CC(C)C(O)C(C)C	OC1C(CNC(C=2C=CC=CC2)C1C)C	CC1(OC(C)C(O)(C)C1O)C
10988	14	[CX4]([CH1]([CH1]=[CX3][CH3])[CX4][CX4])([CX4]([CX3]))	C=C1CC2CCCC(CC)C2C=C1C	CC1C=CCC2(O)CC(=CC2C1(C)O)C	CC(C)(CC)C1C=C(CC(C=O)C1(C)C)C
10989	9	[CX3](=[CH0]([CX4])[CH2][CX4])[CX3]	C=CC=1CCCCC1C	CCCC1=CC(=O)OC1O	CC(=N)C=C(CC)C(N)C
10990	14	[CX4]1[CH2][CH2][CX4]([CX4]([CX4]1))([CX4][cH0]([cX3]a)[cH1][cX3]a)	CC(C=1C=CC=CC1)C2CCCCC2	CC1(O)CC2(C)CC3(C)C4=CC=C(O)C(O)=C4NC13CC2	CC1CCC2(C)C(CC3OC32C1C)C4=COC(=O)C=C4
10991	8	[CX4][CX4]([CH2][CX4])([CH2][CH2][NX3])	CCC1CCNCC1	CC12CCN(C)CC2(O)CCCC1	CN(C)CCC(C)CC(C)C
10992	16	[CX4][cH0]1[cH0]([cH0]2[cH1][cH1][cH1][cH1][cH0]2[nH1]1)[CH2][CH1]([CX3](=[OH0]))[NX3]	O=C(N)C1NCC=2NC=3C=CC=CC3C2C1	CNC(C(=O)N)CC=1C=2C=CC=CC2NC1C(C)(C)C	O=C1NCN2C(C)C=3NC=4C=CC=CC4C3CC12
10993	10	[CH3]O[cH0](:[cH0](:[#6])Cl):[#6]	ClC1=CC(N)=CC=C1OC	CC=1C(O)=C(O)C(=C(OC)C1Cl)C	CC=1C=C(F)C(OC)=C(Cl)C1
10994	19	[CX4]([OH0][CH1]([CX4][OH0][CH1]1[CH1]([CH1]([CH1]([CH1]([OH0]1)[CH2][OH1])[OH1])[OH1])[OH1])[OX2])	COC1OCCC1OC2OC(CO)C(O)C(O)C2O	COC(OC(C)(C)C)C(C)OC1OC(CO)C(O)C(O)C1O	OCC1OC(OC2CCC(OC2O)C)C(O)C(O)C1O
10995	11	[CX4]([CH3])[cH0]([cH0]([cX3](a))[OH1])[cX3]a	CC=1C=C(C(O)=CC1O)CC	CC(C=1C(=O)NC(=C)C(=C)C1O)C	CC=1C(C)=C(O)C2=C(OCC2(C)C)C1C
10996	18	O[CH1]1[CH1]([CH1]([CH1](O[cH0]2:[cH1]:[#6]:[#6](:[cH1]:[cH1]2))O[CH1]1[CH2]O)O)O	OCC1OC(OC=2C=CC=CC2)C(O)C(O)C1O	CC1=CC=C(OC2OC(CO)C(O)C(O)C2O)C=C1O	OCC1OC(OC2=CC=C(C)C=C2)C(O)C(O)C1O
10997	5	[CX4]([CX3])[SX2]	C=CCSC	O=C1NCSC1	O=C(N)CSC1=NN=C(O1)C=2OC=CC2
10998	6	[CX3]([CX3][NX3][CH3])	C=CC(=O)NC	O=C1C(=CCN1C)C2=CNC=3C=CC=CC32	N=C(S)C(=O)N(C)C
10999	10	[CX4][CH0](=[OH0])[NH1][CH2][CX4][CH2][CH2][CX4]	O=C(NCCCCC)CC	NC(C)C(=O)NCC1OCCC1	CC(N)CCCCNC(=O)C(F)(F)F
11000	4	[CH3][CX4][CX4]	CCCC	CC1(N)NCC1C	CC(O)C(O)(C)C
11001	8	[CX4]([CX4]([CX4]([CX3])[CH3]))[CH3]	C=CC(C)CC(C)C	CC(=O)C1(COC(C)(C)C1C)C	O=CC(O)(C)C(O)(C)C(C)(C)C
11002	11	[CX4][CH1]1[CX4][CX4]([CH2][CH1]([CX4]1)[CH2][CX4])	CCC1C(C)CCC2CCCCC21C	NC12CC3CC(CC(C3)C1)C2	OC1CCC2C(CCC(C)C2CC)C1
11003	8	[CH3][CX4]([CX4]([CX4]([CH2][CX4][OX2])))	COCCCCCC	CC1(O)CC2(C=3NC=4C=CC=CC4C3CC2CC1)C	CC(C)C(C)C(O)CC(C)(O)C
11004	13	[CX3](=[OH0])[NH1][SH0](=[OH0])(=[OH0])[cX3]([cH1][cH1][cX3]a)a	O=C(NS(=O)(=O)C=1C=CC=CC1)C	O=C1NS(=O)(=O)C2=CC=C(Br)C=C12	O=C(N)NS(=O)(=O)C=1C=CC=CC1O
11006	10	O=[CH0]([#6])O[CH2][cH0](:[#6]):[cH1]:[#6]	O=C(OCC1=CSC=C1)C	OC=1C=C2C(=CC1O)CC(=O)OC2	CC(=O)OCC1=CC(O)=CC=C1N
11007	10	[CX4][CH0]([CX3](=[CX3]))([CX4][OH1])[CH3]	OCC1(C=CCCC1C)C	CC(=CC)C(C)(C)C(C)O	CC=1CCCC(C1C)(C)C(O)C
11008	14	[OX2](a)[CH2][CH0](=[OH0])[NH1][CH2][CX4]	CCCNC(=O)COC=1C=CC=CC1	CC1=C(O)C=C(C=C1OCC(=O)NCC(C)C)C	CC1=CC=C(OCC(=O)NCCC2=CNC=3C=CC=CC32)C(=C1O)C
11009	16	[NX3](a)[CH0](=[OH0])[cH0]1[cH1][cH0]([cX3]([cH1][cH1]1))[OH0][CX4]	O=C(NC1=NN=CS1)C=2C=CC=C(OC)C2	OC1=CC=CC(C)=C1N(C)C(=O)C2=CC=C3OCOC3=C2	NC1=NC(=C(NC(=O)C2=CC=C(O)C(OCC)=C2)C(=O)N1N)C
11010	11	[CX4][CH1]([CX4])[CH2][cX3]([cX3]a)a	CCC(CC)CC=1C=CC=CC1	CC=1C(O)=C2C(OC(C)(C)C(C2)C(C)(C)C)=C(C1C)C	NC1=NC2=C(S1)CC(C)CC2
11011	10	[CX4]([CH0]([NX3][CX4][CH2][CH2][CX4])=[OH0])[CH3]	O=C(NCCCC)C(O)C	O=C1N2CCCC2CNC1C	O=C(N(C)C1CCCC1)C(N)C
11012	13	[CH3][CH1]([#6])[CH1]([CH0](=O)N[CH1]([#6])[CH0](=[#8])[#8])[#7]	O=C(O)C(C)NC(=O)C(N)C(C)C	O=C(O)C(NC(=O)C(N)C(C)C)C=1C=CC=CC1
11013	9	[CX4]([CH2][CH2][CX4])[CH2][OH0][CX3]	CC(=O)OCCCCC	O=C1OCC2(O)CCC(C)CC12	O=C(OCC1CNCCC1)C2=NN3C(N=C(C=C3C=4C=CC=CC4)C=5C=CC=CC5)=C2
11014	10	[CX4][cH0]1[cH0]([cH1][cX3]([cH1][cH0]1[OX2]))[OH1]	NCC=1C(O)=CC=CC1O	CC1CCOC2=CC(C)=CC(O)=C21	CCC1=C(O)C=C(C)C=C1OC
11015	13	[#8]=[CH0]([CH1]([#7])[CH1]([CH3])[CH3])N[CH1]([CH0](=O)[#7])[#6]	O=C(N)C(NC(=O)C(N)C(C)C)C
11016	6	O=[CH0]([CH1]([#6])[#6])O	O=C(O)C(C)C	O=C(O)C1CC1	OC(=O)C(C=1C=CC=CC1)C=2C=CC=CC2
11017	17	[cX3]([cH0]([cH0]([cX3](a)a)[cH1][cX3](a))-[cH0]1[cH1][cH1][cH1][cH1][cH1]1)a	OC=1C=C2C=CC=CC2=C(C1)C=3C=CC=CC3	CC=1C(=O)OC=2C(Br)=CC(Cl)=CC2C1C=3C=CC=CC3	CC1=CC=CC2=C1NC(C=3C=CC=CC3)=C2C=4C=CC=CC4
11018	10	n1:[cX3]:n:[cH0]2:[cH0](:[cH0]1[#7]):n:[cH1]:n2	NC1=NC=NC=2N=CNC12	CN1C=NC=2C(N)=NC(=NC21)C3=CSC4=CC=CC=C43	NC=1N=C(N)C2=C(N=CN2C)N1
11019	8	[cX3]1[cH1][cH1][cH0]([cH1][cH1]1)[NH2]	OC1=CC=C(N)C=C1	N=1N=C2SC(=NN2C1)C=3C=CC(N)=CC3
11020	8	[CX4]([CX4]([CX4][CH0](=[OH0])[OH0][CH3]))	O=C(OC)CCCC	CC1(N)C(N)CCC1(C)C(=O)OC	O=C(OC)C(O)(C)C(O)C(C)C
11021	11	[CX4]([CX4]([CX4]))[cH0]1[cX3][cH1][cH1][cH0]([cH1]1)[OX2]	CC(C=1C=CC=C(O)C1)CC	COC1=CC=C2NC3NCCC3(C2=C1)C	NC1COC2=CC=C(O)C=C2C1O
11022	12	[cX3](a)[cH1][cX3]([cH1][cX3](a)[CH2][CX4])	CC1=CNC2=C1C=CC=C2CC	O=C1OC=2C=C3OCC(O)CC3=CC2C=C1	ClC=1N=C2C=CC(Br)=CC2=CC1CCCl
11023	8	O[CH1]([#6])[cH0](:[#6]):[cH1]:[#6]	CC(O)C1=COC=C1	CC=1C=C2C(CCC2O)=CC1N	OC1=CC=C2C(COC2C)=C1O
11024	8	[CX4]([CH3])[CX3][NH1][CH2][CX4]	O=C(NCCC)CC	OC(C1=NCCN1)C	O=C(NCCC1=CNC=2C=CC=CC21)C(O)C
11025	13	[CX4]([NH1][cH0]1[cH1][cH1][cH1][cH1][cX3]1)[cX3](a)[cX3](a)	S1C=CC=C1CNC=2C=CC=CC2	O=C1C(=C)C(=C)OC=C1C2NCC=3C=CC=CC3N2	CC(NC=1C=CC=CC1N)C2=CC(O)=C(O)C(Br)=C2
11026	7	[CH3][CX4]([CX4]([NH1][CX4][CX4]))	OCCNCCC	CC1NC(C=2NC=3C=CC=CC3C2C1)C(C)C	CC(O)(C)C1CCC(O)CN1
11027	10	[CX4][CH1]([CX4]([CH3])[CX3](=[OH0]))[OH0][CX4]	CCC(OC)C(C(=O)C)C	O=C1CC(O)OC(C)C1(O)C	O=CC(C)(C)C(OC(O)C)C(O)C
11028	7	S=[CH0](N[#6])N([#6])[#6]	CN1CCNC1=S	CNC(=S)N(C)C	S=C1NCCN1C2=CC=CC=3C=CC=CC32
11029	10	[cX3](a)[nH0][cX3](a)[nX3]a	IC1=CNC=2N=CN=CC12	NC1=NC2=C(C(=O)N(C)C(=O)N2C)N1C	BrC=1C=CC2=NC=C(Br)N2C1
11030	14	[CX4]([cH0]([cH1][cX3]([cX3]a))[cX3]a)[CX3]	O=C(N)CC1=CC=CC=2C=CC=CC21	N=C1C2=C(C)C=C(O)C(O)=C2C=3C(O)=CC(O)=CC3C1(O)C	C=C(C)C(C)C1=CC=CC2=NON=C21
11031	9	[CX4]1[CX4]([CX4]([CH1]=[CX3]([CH0]1=[OH0])))	O=C1C=CCC2CC12C	O=C1C(C)=CC(O)C(C)C1O	O=C1C(N)=CC(C)(O)C2OC12
11032	15	[CX4]([CH2][CX4]([CX4][CH2][cX3](a)a))[CX3]	OC=1C=CC=CC1CCCCCC(=O)O	C=CC1(O)C(C)C2C=3NC(C)=C(C)C3CC2CC1	C=C(N)C(N)CC(C)C(C)CC1=CN(C)C(C)=C2N=C3C=CC=CC3=C21
11033	9	[CH2]1[CH2][CH1]([#6])[#6][#6]N1[CH2][#6]	CCN1CCC(C)CC1	C=1C=CC2=C(C1)NC=C2CN3CCC(C)CC3	CC1CCN(CC=2C=CC=CC2)CC1
11034	5	[CH1](N([#6])[#6])=[#6]	CN(C)C=C	C=CN(C)C=1C=CC=CC1
11035	7	[CX4][NX3][CH2][CX4]([CH2][CX4])	NCCCCNCC	SN1CCCCC1	OC1CC(C)CNC1C
11036	9	[#6]([CH0]1([#6])[#6][CH1]([#6])[CH2][CH1]1[#6])	CC1CC(CC1(C)C)C	C12C3C1CC(C2)C3(C)C	C1CC2CC1CC2(C)C
11037	10	[CH3][CH1]([CH2][CX4])[CX4][CX4]([CX4])[CH3]	CCC(C)CC(C)CCC	OC1CCC2(C)C(O)CCC2C(C)C1	CC1(OC1)CC(C)C(O)C(C)C(O)C
11038	14	[CX4]([CH1]([OH0][CX4]a)[CX4])	OC1CC(OC1CC)C=2C=CC=CC2	CC1=CC(C)=C(C(=O)N1C)C(O)OC(C(O)O)C(C)O	CC1=CC(=O)C=2C(=O)C3=C(C(=O)C2C1=O)C(OC4CCOC34)C
11039	10	O=S([#7])([cH0](:[#6]):[#6])=O	O=S(=O)(N)C=1C=CC=CC1	O=S1(=O)NCC=2C=CC=CC21	O=S(=O)(N)C=1C=C(C=2N=NNN2)C(N)=CC1Cl
11040	13	[CX4][CH1]1[CX4]([CH2][cH0]([cX3]([CX4]1)a)[cX3]a)	CC1(C)CC=2C=NNC2CC1CC	CC(C)C1CCC2=CC(O)=CC=C2C1C	CC1=C(SC2=C1CCC(C2)C(C)(C)C)N
11041	10	[CX4]([CH1]([CX4][CH3])[OH0][CH0](=[OH0])[CH3])	CC(C)C(OC(=O)C)CC	O=C(OC1C(C)CCC1(O)C)C	O=C(OC(C1CO1)C(C)(C)C)C
11042	16	[cX3](a)[cH1][cH0]([cX3]([cX3]a)a)[cX3](a)[cX3](a)a	S=C1OC(=NN1)C=2C=CC=C3C=CC=CC32	C=C1C(O)=C2C(=O)C=C(C=C2C=3C1=C(C)C4=C(O)C=C(O)C=5C(O)=C6C(=O)C=C(C=C6C3C45)C)C	CN1C(=O)C=CC=2C=NC3=CC=C(C=C3C21)C=4C=NC(N)=CC4
11043	9	[#7]=[CH0]([#6])[cH0]1:[cH1]:[cH1]:[cH1]:[cH1]:[#6]1	CC(=N)C=1C=CC=CC1	N=C1CNC=2C=CC=CC12
11044	8	[CH2]([CX4]([CX4]))[NH1][CX4]([CX4])[CX4]	CCC1NCCCC1	CC(C1=NC=CC=C1)(C=2C=CC=CC2)CCNC(C)C	OC1CC(C)CNC1(O)C(C)C
11045	8	[cX3]1[cH1][cX3]([nH0][cH0]([nH0]1)[NX3])	CNC1=NC=CC=N1	NC=1N=C(N)N(O)C(=N)C1	OC=1N=C(N=C(C1)C)N(C)C
11046	13	[OX2][cH0]1[cH1][cX3]([cX3]([cH1][cH0]1[CX4]([CX4]([CX4]))))	CC(C=1C=CC=CC1OC)CCC	CC1(O)COC2=CC(O)=C(C)C=C2C1O	CC1=CC=C(C(O)=C1)C(O)(C)CCC
11047	9	[CX4]1[CX4]([CH2][CX3](=[CX3]([CX4]([CX4]1))))	CC1=CCC2NC1CC2	CC1=C(C)C(O)C(C)C(C)C(O)(C)C1	CC1=CCC(C)C2(C)CC12C
11048	7	[#8]=[CH0](N[CH1]([#6])[#6])[CH3]	O=C(NC(C)C)C	CC(NC(=O)C)C=1C=CC=CC1
11049	9	O=[CH0]1O[#6]([#6](:[cH0]1:[#6]))	O=C1OCC2=CSC=C12	CC=1C(=C)C(=C)C(O)=C2C1C(=O)OC2	O=C1OCC2=CC(O)=C(O)C(N)=C12
11050	12	[CX4]([cH0]([cX3][cH1][cX3]a)[cX3]a)[OH1]	OCC1=CC=CC2=CC=CN=C21	C=C1C(=O)C2=C(O)C3=C(OCC3(C)O)C=C2OC1=C	OC(C=1C2=CC3=CC=C(C=C4C=CC(=N4)C=C5C=CC(=N5)C=C(N2)C1C)N3)C
11051	10	[CX4][CH2][CH2][cH0]1[cH1][cH1][cX3]([cH1][cH1]1)	CCCCC=1C=CC=CC1	CC(N)CCC1=CC=C(O)C=C1	CC(O)(C)CCC1=CC=C(Cl)C=C1
11052	7	[CX3](=[OH0])[NX3]([CX3](=[NX2]))	CC1=NCC(=O)N1	CN=C(S)N(C)C(N)=O	O=C1CSC(=NC=2C=CC=CC2)N1C=3C=CC=CC3
